"------------------------------------------------------------------------------------------ "
"  Atmospheric CO2 concentrations (ppm) derived from continuous analyzer                    "
"  near Point Barrow, Alaska by John Kelley in collaboration with C. D. Keeling             "
"                                                                                           "
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases             "
"     and re-evaluation of the carrier gas effect. Questions                                "
"   about the data should be directed to Dr. Stephen Piper (scpiper@ucsd.edu) or            "
"        Dr. Ralph Keeling (rkeeling@ucsd.edu) of the Scripps CO2 Program                   "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"                                                                                           "
"   Kelley, J.J., Jr. 1969.  An analysis of carbon dioxide in the arctic atmosphere near    "
"     Barrow, Alaska, 1961 to 1967, Scientific report, Department of Atmospheric            "
"     Sciences, University of Washington, Office of Naval Research, Contract                "
"     N00014-67-A-0103-0007, NR 307-252.                                                    "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
" Date and Time are local times ('L'), given both in decimal and year, month, day form      "
" Sample values are daily averages for all conditions.  Data have not been filtered for     "
"   wind direction or wind speed. Average time of day was not                               "
"  saved in the original documentation and is listed as 9999L                               "
" Decimal date is calculated assuming noon time sample.                                     "
" Pressure of -999 indicates ground-based measurement                                       "
" Station KL1 (Kelley 1) was located on the ocean beach.  KL2 was located                   "
" 1.2 km inland from the ocean near a lake at North Meadow station, as shown in figure 1    "
"  of Kelley, 1969                                                                          "
" Data from KL1 were analyzed with an Applied Physics Corporation (APC) analyzer similar to "
"  that used at Scripps whereas those at KL2 were analyzed with a URAS analyzer.  In this   "
"    data version, we have assumed that the carrier gas effect of the URAS was the same     "
"    as for the APC analyzer.                                                               "
"                                                                                           "
" CO2 concentrations are expressed on the Scripps '08A' calibration scale (column 'CO2')    "
" corrected for carrier gas, sample pressure, plenum volume change, flask size, and         "
" analyzer detector changes                                                                 "
"                                                                                           "
" File is sorted by ascending date.                                                         "
"                                                                                           "
"  Flags:                                                                                   "
"                                                                                           "
"  0 - accepted value, continuous analyzer                                                  "
"  5 - rejected value, more than 3 sigma from fitted spline curve                           "
"                                                                                           "
Sample, ,,,,                                   Sample, Sample,,
Date ,       Lat.,    Long.,      Pres., CO2,   Date,   Time,  Sta,  Flag
(local), ,,                      (hPa), (ppm), (local), ,,,   
1961.521973, 71.3400, -156.6400, -999, 316.96, 610710, 9999L, 'KL1', 0
1961.524658, 71.3400, -156.6400, -999, 318.12, 610711, 9999L, 'KL1', 0
1961.527344, 71.3400, -156.6400, -999, 315.07, 610712, 9999L, 'KL1', 0
1961.530151, 71.3400, -156.6400, -999, 317.33, 610713, 9999L, 'KL1', 0
1961.532837, 71.3400, -156.6400, -999, 317.33, 610714, 9999L, 'KL1', 0
1961.535645, 71.3400, -156.6400, -999, 315.02, 610715, 9999L, 'KL1', 0
1961.538330, 71.3400, -156.6400, -999, 315.38, 610716, 9999L, 'KL1', 0
1961.541138, 71.3400, -156.6400, -999, 314.36, 610717, 9999L, 'KL1', 0
1961.546631, 71.3400, -156.6400, -999, 314.94, 610719, 9999L, 'KL1', 0
1961.549316, 71.3400, -156.6400, -999, 314.75, 610720, 9999L, 'KL1', 0
1961.552002, 71.3400, -156.6400, -999, 315.33, 610721, 9999L, 'KL1', 0
1961.554810, 71.3400, -156.6400, -999, 315.31, 610722, 9999L, 'KL1', 0
1961.557495, 71.3400, -156.6400, -999, 312.25, 610723, 9999L, 'KL1', 0
1961.560303, 71.3400, -156.6400, -999, 312.37, 610724, 9999L, 'KL1', 0
1961.562988, 71.3400, -156.6400, -999, 312.32, 610725, 9999L, 'KL1', 0
1961.565796, 71.3400, -156.6400, -999, 312.91, 610726, 9999L, 'KL1', 0
1961.568481, 71.3400, -156.6400, -999, 312.04, 610727, 9999L, 'KL1', 0
1961.571289, 71.3400, -156.6400, -999, 311.88, 610728, 9999L, 'KL1', 0
1961.573975, 71.3400, -156.6400, -999, 309.33, 610729, 9999L, 'KL1', 5
1961.576660, 71.3400, -156.6400, -999, 308.58, 610730, 9999L, 'KL1', 5
1961.579468, 71.3400, -156.6400, -999, 311.74, 610731, 9999L, 'KL1', 0
1961.582153, 71.3400, -156.6400, -999, 305.75, 610801, 9999L, 'KL1', 5
1961.584961, 71.3400, -156.6400, -999, 312.50, 610802, 9999L, 'KL1', 0
1961.587646, 71.3400, -156.6400, -999, 312.99, 610803, 9999L, 'KL1', 0
1961.590454, 71.3400, -156.6400, -999, 314.32, 610804, 9999L, 'KL1', 0
1961.593140, 71.3400, -156.6400, -999, 311.09, 610805, 9999L, 'KL1', 0
